Frequency(Hz),Sigmaf(Hz),Time(s),Sigmat(s),Current(A),Sigmai(A)
5.50,0.05,0.00,0.05,3.00,0.05
5.00,0.05,18.99,0.05,3.00,0.05
4.60,0.05,39.40,0.05,3.00,0.05
3.50,0.05,66.30,0.05,3.00,0.05
3.20,0.05,82.11,0.05,3.00,0.05
2.50,0.05,113.33,0.05,3.00,0.05
2.00,0.05,136.58,0.05,3.00,0.05
