I,sigmaI,r,sigmar
4.40,0.05,11.36,0.05
4.29,0.05,10.85,0.05
4.21,0.05,10.50,0.05
4.11,0.05,10.10,0.05
4.03,0.05,10.00,0.05
3.89,0.05,9.45,0.05
3.85,0.05,9.31,0.05
3.82,0.05,9.20,0.05
3.78,0.05,8.70,0.05
3.61,0.05,8.35,0.05

