Time(s),Sigmat(s),Current(A),Sigmac(A)
2.72,0.05,4.75,0.05
2.78,0.05,4.50,0.05
2.81,0.05,4.00,0.05
2.90,0.05,3.50,0.05
2.97,0.05,3.00,0.05
3.56,0.05,2.50,0.05
3.94,0.05,2.00,0.05
4.50,0.05,1.50,0.05
5.84,0.05,1.00,0.05
